Label,No,B3,B2,B1,F1,F2,F3,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3
1,0,/s,/s,/s,太,阳,像,NAN,NAN,d,nr
0,1,/s,/s,太,阳,像,一,NAN,d,nr,v
1,2,/s,太,阳,像,一,个,d,nr,v,m
1,3,太,阳,像,一,个,巨,nr,v,m,q
0,4,阳,像,一,个,巨,大,v,m,q,nr
1,5,像,一,个,巨,大,的,m,q,nr,a
0,6,一,个,巨,大,的,火,q,nr,a,uj
0,7,个,巨,大,的,火,球,nr,a,uj,n
1,8,巨,大,的,火,球,，,a,uj,n,n
0,9,大,的,火,球,，,逼,uj,n,n,x
1,10,的,火,球,，,逼,射,n,n,x,v
1,11,火,球,，,逼,射,着,n,x,v,v
0,12,球,，,逼,射,着,大,x,v,v,uz
1,13,，,逼,射,着,大,地,v,v,uz,a
1,14,逼,射,着,大,地,，,v,uz,a,uv
0,15,射,着,大,地,，,台,uz,a,uv,x
1,16,着,大,地,，,台,湾,a,uv,x,q
1,17,大,地,，,台,湾,的,uv,x,q,zg
0,18,地,，,台,湾,的,仲,x,q,zg,uj
0,19,，,台,湾,的,仲,夏,q,zg,uj,zg
1,20,台,湾,的,仲,夏,，,zg,uj,zg,nr
0,21,湾,的,仲,夏,，,酷,uj,zg,nr,x
1,22,的,仲,夏,，,酷,热,zg,nr,x,n
1,23,仲,夏,，,酷,热,得,nr,x,n,n
0,24,夏,，,酷,热,得,让,x,n,n,ud
0,25,，,酷,热,得,让,人,n,n,ud,v
1,26,酷,热,得,让,人,晕,n,ud,v,n
1,27,热,得,让,人,晕,眩,ud,v,n,v
1,28,得,让,人,晕,眩,。,v,n,v,v
0,29,让,人,晕,眩,。,/s,n,v,v,x
1,30,人,晕,眩,。,/s,/s,v,v,x,NAN
1,0,/s,/s,/s,柏,霈,文,NAN,NAN,nr,g
0,1,/s,/s,柏,霈,文,把,NAN,nr,g,n
1,2,/s,柏,霈,文,把,车,nr,g,n,p
1,3,柏,霈,文,把,车,子,g,n,p,zg
1,4,霈,文,把,车,子,停,n,p,zg,ng
0,5,文,把,车,子,停,在,p,zg,ng,v
1,6,把,车,子,停,在,工,zg,ng,v,p
1,7,车,子,停,在,工,厂,ng,v,p,n
1,8,子,停,在,工,厂,门,v,p,n,zg
0,9,停,在,工,厂,门,口,p,n,zg,n
1,10,在,工,厂,门,口,，,n,zg,n,q
0,11,工,厂,门,口,，,钻,zg,n,q,x
1,12,厂,门,口,，,钻,出,n,q,x,v
1,13,门,口,，,钻,出,车,q,x,v,v
1,14,口,，,钻,出,车,子,x,v,v,zg
1,15,，,钻,出,车,子,，,v,v,zg,ng
0,16,钻,出,车,子,，,一,v,zg,ng,x
1,17,出,车,子,，,一,股,zg,ng,x,m
1,18,车,子,，,一,股,热,ng,x,m,q
0,19,子,，,一,股,热,浪,x,m,q,n
1,20,，,一,股,热,浪,扑,m,q,n,n
0,21,一,股,热,浪,扑,面,q,n,n,v
1,22,股,热,浪,扑,面,而,n,n,v,n
0,23,热,浪,扑,面,而,来,n,v,n,c
0,24,浪,扑,面,而,来,，,v,n,c,v
0,25,扑,面,而,来,，,烈,n,c,v,x
1,26,面,而,来,，,烈,日,c,v,x,a
1,27,而,来,，,烈,日,闪,v,x,a,m
0,28,来,，,烈,日,闪,烁,x,a,m,v
1,29,，,烈,日,闪,烁,得,a,m,v,zg
0,30,烈,日,闪,烁,得,他,m,v,zg,ud
0,31,日,闪,烁,得,他,睁,v,zg,ud,r
1,32,闪,烁,得,他,睁,不,zg,ud,r,v
1,33,烁,得,他,睁,不,开,ud,r,v,d
0,34,得,他,睁,不,开,眼,r,v,d,v
1,35,他,睁,不,开,眼,睛,v,d,v,n
1,36,睁,不,开,眼,睛,。,d,v,n,zg
0,37,不,开,眼,睛,。,/s,v,n,zg,x
1,38,开,眼,睛,。,/s,/s,n,zg,x,NAN
1,0,/s,/s,/s,走,进,工,NAN,NAN,v,v
0,1,/s,/s,走,进,工,厂,NAN,v,v,n
1,2,/s,走,进,工,厂,，,v,v,n,zg
0,3,走,进,工,厂,，,茶,v,n,zg,x
1,4,进,工,厂,，,茶,叶,n,zg,x,n
1,5,工,厂,，,茶,叶,的,zg,x,n,nr
0,6,厂,，,茶,叶,的,清,x,n,nr,uj
0,7,，,茶,叶,的,清,香,n,nr,uj,t
1,8,茶,叶,的,清,香,就,nr,uj,t,ns
0,9,叶,的,清,香,就,弥,uj,t,ns,d
1,10,的,清,香,就,弥,漫,t,ns,d,v
1,11,清,香,就,弥,漫,在,ns,d,v,a
0,12,香,就,弥,漫,在,空,d,v,a,p
1,13,就,弥,漫,在,空,气,v,a,p,n
1,14,弥,漫,在,空,气,中,a,p,n,n
0,15,漫,在,空,气,中,，,p,n,n,f
1,16,在,空,气,中,，,再,n,n,f,x
1,17,空,气,中,，,再,夹,n,f,x,d
1,18,气,中,，,再,夹,杂,f,x,d,n
1,19,中,，,再,夹,杂,着,x,d,n,v
0,20,，,再,夹,杂,着,茉,d,n,v,uz
0,21,再,夹,杂,着,茉,莉,n,v,uz,n
1,22,夹,杂,着,茉,莉,花,v,uz,n,nrt
0,23,杂,着,茉,莉,花,的,uz,n,nrt,v
0,24,着,茉,莉,花,的,香,n,nrt,v,uj
0,25,茉,莉,花,的,香,味,nrt,v,uj,ns
1,26,莉,花,的,香,味,，,v,uj,ns,n
0,27,花,的,香,味,，,又,uj,ns,n,x
1,28,的,香,味,，,又,甜,ns,n,x,d
1,29,香,味,，,又,甜,净,n,x,d,a
1,30,味,，,又,甜,净,，,x,d,a,a
0,31,，,又,甜,净,，,又,d,a,a,x
1,32,又,甜,净,，,又,清,a,a,x,d
1,33,甜,净,，,又,清,新,a,x,d,t
1,34,净,，,又,清,新,，,x,d,t,a
0,35,，,又,清,新,，,这,d,t,a,x
1,36,又,清,新,，,这,味,t,a,x,r
1,37,清,新,，,这,味,道,a,x,r,n
1,38,新,，,这,味,道,是,x,r,n,q
0,39,，,这,味,道,是,柏,r,n,q,v
1,40,这,味,道,是,柏,霈,n,q,v,nr
1,41,味,道,是,柏,霈,文,q,v,nr,g
0,42,道,是,柏,霈,文,永,v,nr,g,n
1,43,是,柏,霈,文,永,远,nr,g,n,ns
1,44,柏,霈,文,永,远,闻,g,n,ns,a
0,45,霈,文,永,远,闻,不,n,ns,a,v
1,46,文,永,远,闻,不,厌,ns,a,v,d
1,47,永,远,闻,不,厌,的,a,v,d,v
1,48,远,闻,不,厌,的,。,v,d,v,uj
0,49,闻,不,厌,的,。,/s,d,v,uj,x
1,50,不,厌,的,。,/s,/s,v,uj,x,NAN
1,0,/s,/s,/s,深,呼,吸,NAN,NAN,a,zg
0,1,/s,/s,深,呼,吸,了,NAN,a,zg,v
0,2,/s,深,呼,吸,了,一,a,zg,v,ul
1,3,深,呼,吸,了,一,下,zg,v,ul,m
